tweet,date,likes,retweets
@realDonaldTrump When is there ever a site when Washington politicians are capable of conducting business in secret… https://t.co/OV5S0zKGN2,2020-04-28 19:13:25,0,0
"RT @RyanAFournier: Biden’s Senate records from 1973 to 2009 are inaccessible to the public.

Tara Reade is now calling for the release of t…",2020-04-28 19:13:24,0,597
"RT @FuctupMike: Tara Reade calls for release of Biden's Senate records: 'Why are they under seal?'

https://t.co/xT2M40Uhzy",2020-04-28 19:13:23,0,35
"RT @tladd58: Why would a Senator's Records be sealed? Are those Records not the Property of the US People?
This Stinks.....☠☠
Tara Reade ca…",2020-04-28 19:13:22,0,1
"RT @Joe7993: Whete are Joe Bidens records?

Where are Hunter Bidens records?

Tara Reade calls for release of Biden's Senate records: 'Why…",2020-04-28 19:13:21,0,17
"RT @RyanAFournier: Biden’s Senate records from 1973 to 2009 are inaccessible to the public.

Tara Reade is now calling for the release of t…",2020-04-28 19:13:21,0,598
"RT @bekind4america: Tara Reade calls for release of Biden's Senate records: 'Why are they under seal?'

https://t.co/D16CIa2VTm",2020-04-28 19:13:20,0,4
"RT @Joe7993: Whete are Joe Bidens records?

Where are Hunter Bidens records?

Tara Reade calls for release of Biden's Senate records: 'Why…",2020-04-28 19:13:18,0,17
"RT @FuctupMike: Tara Reade calls for release of Biden's Senate records: 'Why are they under seal?'

https://t.co/xT2M40Uhzy",2020-04-28 19:13:16,0,35
"RT @RyanAFournier: Biden’s Senate records from 1973 to 2009 are inaccessible to the public.

Tara Reade is now calling for the release of t…",2020-04-28 19:13:16,0,598
"Tara Reade calls for release of Biden's Senate records: 'Why are they under seal?'

https://t.co/x4mdZx3jyy
Release… https://t.co/Xzp7sZscNj",2020-04-28 19:13:14,0,0
"RT @2runtherace: Tara Reade calls for release of Biden's Senate records: 'Why are they under seal?' | Fox News
@patriot_126 https://t.co/0D…",2020-04-28 19:13:14,0,39
"Tara Reade calls for release of Biden's Senate records: 'Why are they under seal?'

https://t.co/xCLLrIuaCN",2020-04-28 19:13:14,0,0
Tara Reade calls for release of Biden's Senate records: 'Why are they under seal?' https://t.co/sEBL8sO2aF,2020-04-28 19:13:14,1,2
"RT @RyanAFournier: Biden’s Senate records from 1973 to 2009 are inaccessible to the public.

Tara Reade is now calling for the release of t…",2020-04-28 19:13:11,0,598
"RT @TrumpsPitBull: Tara Reade calls for release of Biden's Senate records: 'Why are they under seal?'

https://t.co/48312EhBjC",2020-04-28 19:13:10,0,22
"RT @2runtherace: Tara Reade calls for release of Biden's Senate records: 'Why are they under seal?' | Fox News
@patriot_126 https://t.co/0D…",2020-04-28 19:13:10,0,39
"@CourierNewsroom Why are you guys not covering Joe Biden sexual harassment case?

Tara Reade calls for release of B… https://t.co/ryi3f75JR9",2020-04-28 19:13:10,0,0
"RT @RyanAFournier: Biden’s Senate records from 1973 to 2009 are inaccessible to the public.

Tara Reade is now calling for the release of t…",2020-04-28 19:13:10,0,598
"RT @2runtherace: Tara Reade calls for release of Biden's Senate records: 'Why are they under seal?' | Fox News
@patriot_126 https://t.co/0D…",2020-04-28 19:13:08,0,39
"RT @RyanAFournier: Biden’s Senate records from 1973 to 2009 are inaccessible to the public.

Tara Reade is now calling for the release of t…",2020-04-28 19:13:07,0,601
"RT @MrJones_tm: Tara Reade calls for release of Biden's Senate records: 'Why are they under seal?'

GREAT Question..... 🧐

Democrats consta…",2020-04-28 19:13:07,0,55
"RT @Joe7993: Whete are Joe Bidens records?

Where are Hunter Bidens records?

Tara Reade calls for release of Biden's Senate records: 'Why…",2020-04-28 19:13:06,0,17
"RT @RyanAFournier: Biden’s Senate records from 1973 to 2009 are inaccessible to the public.

Tara Reade is now calling for the release of t…",2020-04-28 19:13:05,0,601
"RT @RyanAFournier: Biden’s Senate records from 1973 to 2009 are inaccessible to the public.

Tara Reade is now calling for the release of t…",2020-04-28 19:13:02,0,601
"RT @RyanAFournier: Biden’s Senate records from 1973 to 2009 are inaccessible to the public.

Tara Reade is now calling for the release of t…",2020-04-28 19:13:01,0,601
"RT @DontDregMeBro: Tara Reade calls for release of Biden's Senate records:
'Why are they under seal?'
https://t.co/a0jLy62PS5

BOOM.",2020-04-28 19:13:01,0,13
"RT @RyanAFournier: Biden’s Senate records from 1973 to 2009 are inaccessible to the public.

Tara Reade is now calling for the release of t…",2020-04-28 19:13:00,0,601
"RT @RyanAFournier: Biden’s Senate records from 1973 to 2009 are inaccessible to the public.

Tara Reade is now calling for the release of t…",2020-04-28 19:12:59,0,601
"RT @RyanAFournier: Biden’s Senate records from 1973 to 2009 are inaccessible to the public.

Tara Reade is now calling for the release of t…",2020-04-28 19:12:57,0,601
"RT @RyanAFournier: Biden’s Senate records from 1973 to 2009 are inaccessible to the public.

Tara Reade is now calling for the release of t…",2020-04-28 19:12:56,0,601
"RT @RyanAFournier: Biden’s Senate records from 1973 to 2009 are inaccessible to the public.

Tara Reade is now calling for the release of t…",2020-04-28 19:12:55,0,601
Ohhhhh @JoeBiden so you clearly don't support the #MeToo movement when it affects you. Hiding these documents is an… https://t.co/AI6O0LL4pk,2020-04-28 19:12:52,0,0
"RT @RyanAFournier: Biden’s Senate records from 1973 to 2009 are inaccessible to the public.

Tara Reade is now calling for the release of t…",2020-04-28 19:12:51,0,601
"RT @RyanAFournier: Biden’s Senate records from 1973 to 2009 are inaccessible to the public.

Tara Reade is now calling for the release of t…",2020-04-28 19:12:50,0,601
"RT @DailyCaller: According to Tara Reade, she filed a written sexual harassment complaint against Joe Biden with a “Senate personnel office…",2020-04-28 19:12:48,0,780
"RT @RyanAFournier: Biden’s Senate records from 1973 to 2009 are inaccessible to the public.

Tara Reade is now calling for the release of t…",2020-04-28 19:12:47,0,601
"RT @RyanAFournier: Biden’s Senate records from 1973 to 2009 are inaccessible to the public.

Tara Reade is now calling for the release of t…",2020-04-28 19:12:45,0,601
"RT @RyanAFournier: Biden’s Senate records from 1973 to 2009 are inaccessible to the public.

Tara Reade is now calling for the release of t…",2020-04-28 19:12:44,0,601
RT @AymasAqui: Tara Reade calls for release of Biden's Senate records: 'Why are they under seal?' #faith #justice #neuromarketing #usa #the…,2020-04-28 19:12:41,0,1
"RT @RyanAFournier: Biden’s Senate records from 1973 to 2009 are inaccessible to the public.

Tara Reade is now calling for the release of t…",2020-04-28 19:12:41,0,601
"RT @MrJones_tm: Tara Reade calls for release of Biden's Senate records: 'Why are they under seal?'

GREAT Question..... 🧐

Democrats consta…",2020-04-28 19:12:39,0,55
"RT @RyanAFournier: Biden’s Senate records from 1973 to 2009 are inaccessible to the public.

Tara Reade is now calling for the release of t…",2020-04-28 19:12:37,0,601
"RT @MrJones_tm: Tara Reade calls for release of Biden's Senate records: 'Why are they under seal?'

GREAT Question..... 🧐

Democrats consta…",2020-04-28 19:12:37,0,55
"RT @RyanAFournier: Biden’s Senate records from 1973 to 2009 are inaccessible to the public.

Tara Reade is now calling for the release of t…",2020-04-28 19:12:37,0,603
"That is why you don't make this a career.

Tara Reade calls for release of Biden's Senate records: 'Why are they un… https://t.co/LpoKJwGD3O",2020-04-28 19:12:37,0,0
"RT @RyanAFournier: Biden’s Senate records from 1973 to 2009 are inaccessible to the public.

Tara Reade is now calling for the release of t…",2020-04-28 19:12:36,0,603
"RT @RyanAFournier: Biden’s Senate records from 1973 to 2009 are inaccessible to the public.

Tara Reade is now calling for the release of t…",2020-04-28 19:12:31,0,603
"RT @RyanAFournier: Biden’s Senate records from 1973 to 2009 are inaccessible to the public.

Tara Reade is now calling for the release of t…",2020-04-28 19:12:30,0,603
"GREAT QUESTION! YOU GOT SOMETHING TO HIDE @JoeBiden? 

Tara Reade calls for release of Biden's Senate records: 'Why… https://t.co/GoUnOmBaIE",2020-04-28 19:12:29,14,8
"RT @Reliefrm: Tara Reade calls for release of Biden's Senate records: 'Why are they under seal?'

https://t.co/l5EMnaJhgI",2020-04-28 19:12:29,0,11
"RT @2runtherace: Tara Reade calls for release of Biden's Senate records: 'Why are they under seal?' | Fox News
@patriot_126 https://t.co/0D…",2020-04-28 19:12:28,0,39
"RT @RyanAFournier: Biden’s Senate records from 1973 to 2009 are inaccessible to the public.

Tara Reade is now calling for the release of t…",2020-04-28 19:12:28,0,603
"RT @RyanAFournier: Biden’s Senate records from 1973 to 2009 are inaccessible to the public.

Tara Reade is now calling for the release of t…",2020-04-28 19:12:26,0,603
"Tara Reade calls for release of Biden's Senate records: 'Why are they under seal?'

https://t.co/6C6gT0WiOR
⁦… https://t.co/gyKUyHv8fv",2020-04-28 19:12:25,0,0
"RT @FuctupMike: Tara Reade calls for release of Biden's Senate records: 'Why are they under seal?'

https://t.co/xT2M40Uhzy",2020-04-28 19:12:25,0,35
"RT @MrJones_tm: Tara Reade calls for release of Biden's Senate records: 'Why are they under seal?'

GREAT Question..... 🧐

Democrats consta…",2020-04-28 19:12:23,0,55
"RT @Joe7993: Whete are Joe Bidens records?

Where are Hunter Bidens records?

Tara Reade calls for release of Biden's Senate records: 'Why…",2020-04-28 19:12:23,0,17
"RT @RyanAFournier: Biden’s Senate records from 1973 to 2009 are inaccessible to the public.

Tara Reade is now calling for the release of t…",2020-04-28 19:12:21,0,604
"RT @Joe7993: Whete are Joe Bidens records?

Where are Hunter Bidens records?

Tara Reade calls for release of Biden's Senate records: 'Why…",2020-04-28 19:12:20,0,17
"RT @FuctupMike: Tara Reade calls for release of Biden's Senate records: 'Why are they under seal?'

https://t.co/xT2M40Uhzy",2020-04-28 19:12:19,0,35
